handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
KR24PT78,Product,Berry Fruit Mix Loose per 100g,,https://cdn1.woolworths.media/content/wowproductimages/medium/767410.jpg,Pantry;Baking,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW74ZX50,Product,Betty Crocker Apple & Cinnamon 97% Fat Free Muffin Mix 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/187786.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI39LW14,Product,Betty Crocker Blueberry Low Fat Muffin Mix 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/187781.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI46PQ25,Product,Betty Crocker Brownie Mix Frosted Chocolate 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/307786.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA43OG12,Product,Betty Crocker Chocolate Cupcake Mix 450g,,https://cdn1.woolworths.media/content/wowproductimages/medium/760495.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS60TF17,Product,Betty Crocker Chocolate Frosting 400g,,https://cdn1.woolworths.media/content/wowproductimages/medium/680956.jpg,Pantry;Baking,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD60QY33,Product,Betty Crocker Chocolate Fudge Cake Mix 540g,,https://cdn1.woolworths.media/content/wowproductimages/medium/760440.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OW48RL95,Product,Betty Crocker Cinnamon Crumble Muffin Mix 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/205497.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZI54GF34,Product,Betty Crocker Creamy Deluxe Chocolate Fudge Frosting 400g,,https://cdn1.woolworths.media/content/wowproductimages/medium/680970.jpg,Pantry;Baking,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PY93DM26,Product,Betty Crocker Devil's Food Cake Mix 540g,,https://cdn1.woolworths.media/content/wowproductimages/medium/760459.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS50DD57,Product,Betty Crocker Gluten Free Chocolate Fudge Brownie Mix 450g,,https://cdn1.woolworths.media/content/wowproductimages/medium/793245.jpg,Pantry;Baking,,,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQ77OK72,Product,Betty Crocker Gluten Free Devils Food Cake Mix 550g,,https://cdn1.woolworths.media/content/wowproductimages/medium/793246.jpg,Pantry;Baking,,,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HZ52OI18,Product,Betty Crocker Gluten Free Vanilla Cupcake Mix 460g,,https://cdn1.woolworths.media/content/wowproductimages/medium/474367.jpg,Pantry;Baking,,,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XT53RN55,Product,Betty Crocker Lemon Coconut Cake Mix 540g,,https://cdn1.woolworths.media/content/wowproductimages/medium/575094.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH20UU30,Product,Betty Crocker Limited Edition Salted Caramel Cookie Mix 400g,,https://cdn1.woolworths.media/content/wowproductimages/medium/661671.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WQ82SW73,Product,Betty Crocker Milk Chocolate Chunk Cookie Mix 485g,,https://cdn1.woolworths.media/content/wowproductimages/medium/187797.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT71WM89,Product,Betty Crocker Mug Treats Belgian Chocolate Cake 80g x2 pack,,https://cdn1.woolworths.media/content/wowproductimages/medium/864818.jpg,Pantry;Baking,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HE26JE92,Product,Betty Crocker Mug Treats Hot Fudge Brownie 80g x2 pack,,https://cdn1.woolworths.media/content/wowproductimages/medium/864819.jpg,Pantry;Baking,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP96MU79,Product,Betty Crocker Rainbow Chip With M&m Cookie Mix 495g,,https://cdn1.woolworths.media/content/wowproductimages/medium/314544.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
